img_id,source,fanpage,url,total_react,share_count,react_like,react_love,react_care,react_wow,react_angry,comment_count,raw_comment
fac_001,Facebook,Samsung,https://scontent.fhan20-1.fna.fbcdn.net/v/t39.30808-6/669227504_1068864838827835_1161030943485113812_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=1&ccb=1-7&_nc_sid=0327a3&_nc_eui2=AeGZfjTZL6kGjIhAAXe7OT6NXwshCvl0JrBfCyEK-XQmsPACLcx8qdurGTUYuboZYaMxxNYv_jh-9U2PTu3-oOlY&_nc_ohc=Rz6uEGRh71IQ7kNvwE3Z-sU&_nc_oc=Adr3LA1Zmy6p0GTUrR7aCHrqucCNG5lG8CrWaX0hMK2ZyeYVzqLddwEqKQBYvKBsgQc&_nc_zt=23&_nc_ht=scontent.fhan20-1.fna&_nc_gid=GXU2VbgS_IbDUP1XihOchw&_nc_ss=7a3a8&oh=00_Af2GyXxeoe0CUL0nDaafRPjRVbjkUMVeXwkXyXYsuMgA1w&oe=69E83D1A,4399,15,4334,55,8,1,1,29,"[non-text-comment:1769012067392983] | Danny Ninh Chào bạn, máy giặt Samsung Ecobubble mới có giá từ 10.990.000 VND với khối lượng giặt 17kg. Đặc biệt, đang có ưu đãi ưu đãi giảm giá đến 25%, mua nhiều giảm thêm 5%, mua Online giảm thêm 2%, miễn phí giao hàng và trả góp 0%. Ngoài ra, Samsung hiện đang tặng thêm 1 năm bảo hành cho khách hàng mua trước 31/5/2026. Áp dụng cho các model sản phẩm: WA40F17E7CSV, WA40F12E4CSV, WA40F12E4LSV, WA40F95E1CSV Mua ngay sản phẩm máy giặt tại: http://smsng.co/6180B64Ssp nhé. Cám ơn bạn luôn đồng hành và ủng hộ sản phẩm Samsung <3 | Bn a | Imiss You Chào bạn, máy giặt Samsung Ecobubble mới có giá từ 10.990.000 VND với khối lượng giặt 17kg. Đặc biệt, đang có ưu đãi ưu đãi giảm giá đến 25%, mua nhiều giảm thêm 5%, mua Online giảm thêm 2%, miễn phí giao hàng và trả góp 0%. Ngoài ra, Samsung hiện đang tặng thêm 1 năm bảo hành cho khách hàng mua trước 31/5/2026. Áp dụng cho các model sản phẩm: WA40F17E7CSV, WA40F12E4CSV, WA40F12E4LSV, WA40F95E1CSV Mua ngay sản phẩm máy giặt tại: http://smsng.co/6180B64Ssp nhé. Cám ơn bạn luôn đồng hành và ủng hộ sản phẩm Samsung <3 | Samsung 👍 | 行者 Chào bạn, máy giặt Samsung Ecobubble mới có giá từ 10.990.000 VND với khối lượng giặt 17kg. Đặc biệt, đang có ưu đãi ưu đãi giảm giá đến 25%, mua nhiều giảm thêm 5%, mua Online giảm thêm 2%, miễn phí giao hàng và trả góp 0%. Ngoài ra, Samsung hiện đang tặng thêm 1 năm bảo hành cho khách hàng mua trước 31/5/2026. Áp dụng cho các model sản phẩm: WA40F17E7CSV, WA40F12E4CSV, WA40F12E4LSV, WA40F95E1CSV Mua ngay sản phẩm máy giặt tại: http://smsng.co/6180B64Ssp nhé. Cám ơn bạn luôn đồng hành và ủng hộ sản phẩm Samsung <3 | Quá chuẩn luôn đấy | Nguyễn Thương Chào bạn, máy giặt Samsung Ecobubble mới có giá từ 10.990.000 VND với khối lượng giặt 17kg. Đặc biệt, đang có ưu đãi ưu đãi giảm giá đến 25%, mua nhiều giảm thêm 5%, mua Online giảm thêm 2%, miễn phí giao hàng và trả góp 0%. Ngoài ra, Samsung hiện đang tặng thêm 1 năm bảo hành cho khách hàng mua trước 31/5/2026. Áp dụng cho các model sản phẩm: WA40F17E7CSV, WA40F12E4CSV, WA40F12E4LSV, WA40F95E1CSV Mua ngay sản phẩm máy giặt tại: http://smsng.co/6180B64Ssp nhé. Cám ơn bạn luôn đồng hành và ủng hộ sản phẩm Samsung <3 | [non-text-comment:1990811501525641] | Luu Gu Chào bạn, máy giặt Samsung Ecobubble mới có giá từ 10.990.000 VND với khối lượng giặt 17kg. Đặc biệt, đang có ưu đãi ưu đãi giảm giá đến 25%, mua nhiều giảm thêm 5%, mua Online giảm thêm 2%, miễn phí giao hàng và trả góp 0%. Ngoài ra, Samsung hiện đang tặng thêm 1 năm bảo hành cho khách hàng mua trước 31/5/2026. Áp dụng cho các model sản phẩm: WA40F17E7CSV, WA40F12E4CSV, WA40F12E4LSV, WA40F95E1CSV Mua ngay sản phẩm máy giặt tại: http://smsng.co/6180B64Ssp nhé. Cám ơn bạn luôn đồng hành và ủng hộ sản phẩm Samsung <3 | [non-text-comment:961581083087712] | Hội Hội Chào bạn, máy giặt Samsung Ecobubble mới có giá từ 10.990.000 VND với khối lượng giặt 17kg. Đặc biệt, đang có ưu đãi ưu đãi giảm giá đến 25%, mua nhiều giảm thêm 5%, mua Online giảm thêm 2%, miễn phí giao hàng và trả góp 0%. Ngoài ra, Samsung hiện đang tặng thêm 1 năm bảo hành cho khách hàng mua trước 31/5/2026. Áp dụng cho các model sản phẩm: WA40F17E7CSV, WA40F12E4CSV, WA40F12E4LSV, WA40F95E1CSV Mua ngay sản phẩm máy giặt tại: http://smsng.co/6180B64Ssp nhé. Cám ơn bạn luôn đồng hành và ủng hộ sản phẩm Samsung <3 | 😀 | Hoa Bi Ngan Chào bạn, máy giặt Samsung Ecobubble mới có giá từ 10.990.000 VND với khối lượng giặt 17kg. Đặc biệt, đang có ưu đãi ưu đãi giảm giá đến 25%, mua nhiều giảm thêm 5%, mua Online giảm thêm 2%, miễn phí giao hàng và trả góp 0%. Ngoài ra, Samsung hiện đang tặng thêm 1 năm bảo hành cho khách hàng mua trước 31/5/2026. Áp dụng cho các model sản phẩm: WA40F17E7CSV, WA40F12E4CSV, WA40F12E4LSV, WA40F95E1CSV Mua ngay sản phẩm máy giặt tại: http://smsng.co/6180B64Ssp nhé. Cám ơn bạn luôn đồng hành và ủng hộ sản phẩm Samsung <3 | [non-text-comment:1932305697654797] | Thi Gia Chào bạn, máy giặt Samsung Ecobubble mới có giá từ 10.990.000 VND với khối lượng giặt 17kg. Đặc biệt, đang có ưu đãi ưu đãi giảm giá đến 25%, mua nhiều giảm thêm 5%, mua Online giảm thêm 2%, miễn phí giao hàng và trả góp 0%. Ngoài ra, Samsung hiện đang tặng thêm 1 năm bảo hành cho khách hàng mua trước 31/5/2026. Áp dụng cho các model sản phẩm: WA40F17E7CSV, WA40F12E4CSV, WA40F12E4LSV, WA40F95E1CSV Mua ngay sản phẩm máy giặt tại: http://smsng.co/6180B64Ssp nhé. Cám ơn bạn luôn đồng hành và ủng hộ sản phẩm Samsung <3 | [non-text-comment:1340327421483883] | Thi Gia Chào bạn, máy giặt Samsung Ecobubble mới có giá từ 10.990.000 VND với khối lượng giặt 17kg. Đặc biệt, đang có ưu đãi ưu đãi giảm giá đến 25%, mua nhiều giảm thêm 5%, mua Online giảm thêm 2%, miễn phí giao hàng và trả góp 0%. Ngoài ra, Samsung hiện đang tặng thêm 1 năm bảo hành cho khách hàng mua trước 31/5/2026. Áp dụng cho các model sản phẩm: WA40F17E7CSV, WA40F12E4CSV, WA40F12E4LSV, WA40F95E1CSV Mua ngay sản phẩm máy giặt tại: http://smsng.co/6180B64Ssp nhé. Cám ơn bạn luôn đồng hành và ủng hộ sản phẩm Samsung <3 | [non-text-comment:1472848124485817] | Thi Gia Chào bạn, máy giặt Samsung Ecobubble mới có giá từ 10.990.000 VND với khối lượng giặt 17kg. Đặc biệt, đang có ưu đãi ưu đãi giảm giá đến 25%, mua nhiều giảm thêm 5%, mua Online giảm thêm 2%, miễn phí giao hàng và trả góp 0%. Ngoài ra, Samsung hiện đang tặng thêm 1 năm bảo hành cho khách hàng mua trước 31/5/2026. Áp dụng cho các model sản phẩm: WA40F17E7CSV, WA40F12E4CSV, WA40F12E4LSV, WA40F95E1CSV Mua ngay sản phẩm máy giặt tại: http://smsng.co/6180B64Ssp nhé. Cám ơn bạn luôn đồng hành và ủng hộ sản phẩm Samsung <3 | Nhiêu tiền sốp ơi | Chốt đơn | Đã quá | [missing-comment:1] | [missing-comment:2] | [missing-comment:3] | [missing-comment:4] | [missing-comment:5] | [missing-comment:6]"
fac_002,Facebook,Samsung,https://scontent.fhan20-1.fna.fbcdn.net/v/t39.30808-6/671690727_1071646298549689_4825520368395276112_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=1&ccb=1-7&_nc_sid=13d280&_nc_eui2=AeHJSd3PMXVs_4068ZAQi2YVITM16_l_U8AhMzXr-X9TwELV5uKRY8V_vOJrbjKhxXWvUH5v9iLtqnZ44xbYeSor&_nc_ohc=QXz8aS05SqYQ7kNvwF5fIkF&_nc_oc=AdrLdQmVfqfZP0v6X1F2gA9Zdnx_VvrQfQisDYqmiVJAEPiHsEkgIAF1LjCARHfNMm8&_nc_zt=23&_nc_ht=scontent.fhan20-1.fna&_nc_gid=0QJE6P3Wx8quiGHwXotxUQ&_nc_ss=7a3a8&oh=00_Af1EB-yUdeJEBEo7o16p5ckqSsEk_v9ILIIy_bPYE6OyfA&oe=69E8329D,611,19,382,215,13,0,1,70,"🫶🫶 | Nguyễn Thanh Thảo 😍😍😍 | Chắc mua thêm em GalaxyA57 cheap moment với HIEUTHUHAI quá:) | Kha Tieu 📍 Chào bạn, cảm ơn bạn đã quan tâm đến Galaxy A57! Galaxy A57 hiện đã có mặt tại Samsung Store, các cửa hàng Thế Giới Di Động và đại lý bán lẻ toàn quốc để bạn tha hồ trải nghiệm rồi nhé. Đặc biệt khi đặt mua online tại http://smsng.co/A57 bạn còn nhận được mức giá cực kỳ hấp dẫn cùng nhiều quà tặng giá trị. Trải nghiệm ngay ✨ | Cùng Samsung Galaxy A57 A37 5G bắt vibe cực mượt cùng HIEUTHUHAI | Mai Hồng Nga 📸 Chào bạn, cảm ơn bạn đã dành lời khen cho dòng máy mới ạ! 😍 Siêu phẩm Galaxy A57 với hệ thống camera Nightography và tính năng Best Face mới, việc sở hữu những tấm hình rạng rỡ và hoàn hảo chưa bao giờ dễ dàng đến thế. ✨ Ghé ngay cửa hàng để trực tiếp trải nghiệm hoặc tham khảo tại đây để ""bật thần thái"" ngay: http://smsng.co/A57 | Đỉnh nha | Thiên Lý 📸 Chào bạn, cảm ơn bạn đã dành lời khen cho dòng máy mới ạ! 😍 Siêu phẩm Galaxy A57 với hệ thống camera Nightography và tính năng Best Face mới, việc sở hữu những tấm hình rạng rỡ và hoàn hảo chưa bao giờ dễ dàng đến thế. ✨ Ghé ngay cửa hàng để trực tiếp trải nghiệm hoặc tham khảo tại đây để ""bật thần thái"" ngay: http://smsng.co/A57 | Samsung Galaxy A57 A37 5G vừa nhanh vừa ổn định, giống vibe chill nhưng vẫn chất của HIEUTHUHAI | Hieu Mimi 🎮 Bạn yên tâm, trải nghiệm mượt mà và trơn tru chính là điểm cộng lớn nhất trên dòng máy này. Màn hình 120Hz giúp các thao tác vuốt chạm khi chơi game hay xem phim trở nên rất ấn tượng. Bạn sẽ cảm nhận rõ sự khác biệt ngay từ lần chạm đầu tiên đó. 🎬 Trải nghiệm thực tế tại store để thấy độ mượt, hoặc tham khảo tại: http://smsng.co/A57 | Samsung Galaxy A 57/A37 5G xịn, đẹp như a Đại sứ HIEUTHUHAI zậy | Mai Phạm Chào bạn, rất vui vì diện mạo của Galaxy A57 đã chinh phục được bạn! ✨ Vẻ ngoài mỏng nhẹ và thời thượng của máy càng thêm hoàn hảo khi đi kèm với hệ thống camera AI chụp đêm cực nét, khả năng bảo mật Knox Vault an toàn tuyệt đối và chuẩn kháng nước IP68 bền bỉ. Đây hứa hẹn sẽ là người bạn đồng hành vừa sành điệu vừa tin cậy dành cho bạn trong năm nay. 👉 Tham khảo ngay tại: http://smsng.co/A57 | Samsung GalaxyA57 nét quá | Ngáo Ngơ 😍 Chào bạn, rất vui vì bạn cũng yêu thích Galaxy A57. Thiết kế sang xịn mịn kết hợp cùng camera sắc nét thế này thì đúng là ""chân ái"" cho team mê sống ảo rồi. ✨ Tham khảo ngay tại: http://smsng.co/A57 | Đỉnh quá Samsung ơi | Xuan Le 😍 Chào bạn, rất vui vì bạn cũng yêu thích Galaxy A57. Thiết kế sang xịn mịn kết hợp cùng camera sắc nét thế này thì đúng là ""chân ái"" cho team mê sống ảo rồi. ✨ Tham khảo ngay tại: http://smsng.co/A57 | Quá xịn ,quá đẹp ,cùng Samsung Galaxy A57 A37 5G x HIEUTHUHAI bắt vibe cực nét | Le Thoa 📸 Chào bạn, cảm ơn bạn đã dành lời khen cho dòng máy mới ạ! 😍 Siêu phẩm Galaxy A57 với hệ thống camera Nightography và tính năng Best Face mới, việc sở hữu những tấm hình rạng rỡ và hoàn hảo chưa bao giờ dễ dàng đến thế. ✨ Ghé ngay cửa hàng để trực tiếp trải nghiệm hoặc tham khảo tại đây để ""bật thần thái"" ngay: http://smsng.co/A57 | Samsung Galaxy A57 | A37 5G đỉnh, cùng HIEUTHUHAI trải nghiệm nào SUNDAYs ơi. | Cogiao Vungcao 📸 Chào bạn, cảm ơn bạn đã dành lời khen cho dòng máy mới ạ! 😍 Siêu phẩm Galaxy A57 với hệ thống camera Nightography và tính năng Best Face mới, việc sở hữu những tấm hình rạng rỡ và hoàn hảo chưa bao giờ dễ dàng đến thế. ✨ Ghé ngay cửa hàng để trực tiếp trải nghiệm hoặc tham khảo tại đây để ""bật thần thái"" ngay: http://smsng.co/A57 | Bắt vibe cực mượt cùng anh HIEUTHUHAI và Samsung Galaxy A57 | A37 5G nha | Lướt mạng nhẹ nhàng, tải game mượt mà, bắn ảnh cực nét cùng Samsung A57/A37 của anh đại diện HIEUTHUHAI 😘😘 | Cùng Samsung Galaxy A57 A37 5G bắt vibe HIEUTHUHAI cực mượt nha! | Hieuthuhai x Samsung Galaxy A57/A37 5G quá xịn xò sang trọng chụp hình siêu nét | Hiệu năng vượt trội, bắt vibe cực mượt cùng HIEUTHUHAI và Samsung Galaxy A57 🤩 | HIEUTHUHAI và Samsung dynamic duo | Trải nghiệm ngay Samsung Galaxy A57 A37 5G cùng đại sứ HIEUTHUHAI | Bật vibe Awesome cùng HIEUTHUHAI và Samsung nha SUNDAYs! | Mình cũng muốn bắt vibe cực mượt như HIEUTHUHAI với Samsung Galaxy A57 | A37 5G. | Hãy cùng Samsung Galaxy A57 / A37 5G bắt vibe cực mượt cùng HIEUTHUHAI ❤️ | Quá xịn ,quá đẹp ,cùng Samsung Galaxy A57 A37 5G x HIEUTHUHAI bắt vibe cực nét | Nhỉn HIEUTHUHAI cầm Samsung Galaxy A57 biết ngay bắt vibe cực mượt | Samsung x HIEUTHUHAI mãi keo | Hiệu năng vượt trội, bắt vibe cực mượt cùng HIEUTHUHAI 🥰🥰🥰🥰 | Diep Pham | Tôi đang ỡ Hàn Quốc mà phãi mua Samsung A57 nè vì bé HIEUTHUHAI rất quý bé nó vì nhân cách gỡi từ VIỆT NAM sang | HIEUTHUHAI siêu đẹp với góc chụp Samsung | Trải nghiệm Samsung Galaxy A57 và A37 5G cùng HIEUTHUHAI nào. | HTH chuyển sang Sài Samsung thôi | [non-text-comment:1540902447371204] | Cùng Samsung Galaxy A57 A37 5G bắt vibe anh HIEUTHUHAI cực nét | Samsung Galaxy A57 A37 5G bắt vibe HIEUTHUHAI cực xịn | HIEUTHUHAI quá đỉnh với Samsung! | ❤️✨👍 | Cũng mua samsung Galaxy A37/A57 5G để chụp ảnh đẹp như a đại sứ HIEUTHUHAI | Siêu Xịn ❤️ | [non-text-comment:2205241800279890] | Cùng Samsung Galaxy A57 A37 5G bắt vibe mượt mà như HIEUTHUHAI | [non-text-comment:1436495227740851] | [non-text-comment:1722583672447205] | [missing-comment:1] | [missing-comment:2] | [missing-comment:3] | [missing-comment:4] | [missing-comment:5] | [missing-comment:6] | [missing-comment:7] | [missing-comment:8] | [missing-comment:9] | [missing-comment:10] | [missing-comment:11] | [missing-comment:12] | [missing-comment:13] | [missing-comment:14] | [missing-comment:15] | [missing-comment:16] | [missing-comment:17] | [missing-comment:18] | [missing-comment:19] | [missing-comment:20]"
fac_003,Facebook,Samsung,https://scontent.fhan20-1.fna.fbcdn.net/v/t39.30808-6/674142298_1073070768407242_268351220681778453_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=1&ccb=1-7&_nc_sid=13d280&_nc_eui2=AeE3JFrgpd9kdwIpRJvG9g7s86U198z1ALLzpTX3zPUAstrWR1gTzvERca2P_1-9nmPmtfY8Q25pud_n5Bs42oIL&_nc_ohc=nT3IqTGbDeQQ7kNvwF9ZlCY&_nc_oc=AdowrnWrn-vhQrULDaqyBxvVlAkim_gbjj_eJvl5Ze78w0rNY2ewgP97f23l7pevnDU&_nc_zt=23&_nc_ht=scontent.fhan20-1.fna&_nc_gid=Kd5mWXHnEFXjOQ_zp8KMbg&_nc_ss=7a3a8&oh=00_Af2_R4qzUij86iWag7UuFNZJjjI_8xLubJVg2rNhn8-dBA&oe=69E82F2B,1556,10,1518,31,5,1,1,14,Tuyet a | Nguyễn Thị Hiền <3 | Giá cả như nào nhỉ | Tuyệt vời ❤️ | Samsung 👍 | 🌻👍👍🌻❣️❣️❣️ | [non-text-comment:1345588160717080] | [non-text-comment:2308045913053857] | [missing-comment:1] | [missing-comment:2] | [missing-comment:3] | [missing-comment:4] | [missing-comment:5] | [missing-comment:6]
